date,industry_code,pe_ttm,pb,dividend_yield
2020-07-30,801760,50.45,2.94,0.58
2020-07-30,801750,81.27,5.01,0.31
2020-07-30,801770,46.75,3.04,0.36
2020-07-30,801730,42.77,3.28,0.5
2020-07-30,801710,17.2,2.47,1.96
2020-07-31,801160,22.33,1.45,1.8
2020-07-31,801150,61.64,5.41,0.52
2020-07-31,801120,47.04,9.03,1.0
2020-07-31,801170,22.6,1.44,1.46
2020-07-31,801080,60.36,4.63,0.46
2020-07-31,801050,45.76,2.55,0.56
2020-07-31,801040,12.72,0.9,2.49
2020-07-31,801030,29.18,2.31,1.25
2020-07-31,801010,22.86,4.33,1.41
2020-07-31,801110,22.01,3.46,2.72
2020-07-31,801180,9.64,1.28,3.04
2020-07-31,801880,29.04,1.79,1.28
2020-07-31,801790,19.2,1.96,1.43
2020-07-31,801780,5.99,0.68,4.59
2020-07-31,801770,47.17,3.07,0.36
2020-07-31,801760,51.07,2.98,0.58
2020-07-31,801890,32.49,2.47,0.81
2020-07-31,801730,43.48,3.33,0.49
2020-07-31,801710,17.43,2.5,1.93
2020-07-31,801750,82.62,5.09,0.3
2020-08-03,801160,22.75,1.48,1.77
2020-08-03,801150,63.22,5.55,0.49
2020-08-03,801120,47.26,9.09,1.0
2020-08-03,801050,46.72,2.6,0.55
2020-08-03,801080,62.43,4.78,0.44
2020-08-03,801040,12.96,0.91,2.44
2020-08-03,801030,29.93,2.38,1.21
2020-08-03,801010,23.52,4.45,1.37
2020-08-03,801170,23.09,1.47,1.43
2020-08-03,801110,22.41,3.53,2.67
2020-08-03,801180,9.85,1.31,2.98
2020-08-03,801880,30.0,1.85,1.24
2020-08-03,801790,19.58,2.0,1.3
2020-08-03,801780,6.03,0.68,4.56
2020-08-03,801770,48.53,3.16,0.35
2020-08-03,801760,52.57,3.05,0.57
2020-08-03,801890,33.35,2.54,0.78
2020-08-03,801730,44.4,3.4,0.48
2020-08-03,801710,17.74,2.55,1.9
2020-08-03,801750,85.26,5.25,0.29
2020-08-04,801150,62.65,5.49,0.5
2020-08-04,801120,47.12,9.06,1.0
2020-08-04,801110,22.35,3.52,2.68
2020-08-04,801040,12.94,0.91,2.44
2020-08-04,801050,46.5,2.6,0.55
2020-08-04,801030,30.02,2.38,1.21
2020-08-04,801010,23.49,4.45,1.37
2020-08-04,801160,22.8,1.48,1.77
2020-08-04,801080,61.29,4.69,0.45
2020-08-04,801170,23.13,1.48,1.45
2020-08-04,801180,9.96,1.32,2.94
2020-08-04,801880,30.22,1.86,1.24
2020-08-04,801790,19.74,2.01,1.29
2020-08-04,801780,6.19,0.7,4.44
2020-08-04,801770,47.98,3.12,0.35
2020-08-04,801760,52.06,3.02,0.58
2020-08-04,801750,84.11,5.19,0.29
2020-08-04,801890,33.31,2.54,0.79
2020-08-04,801730,43.98,3.36,0.49
2020-08-04,801710,17.74,2.54,1.9
2020-08-05,801160,22.72,1.47,1.77
2020-08-05,801150,63.49,5.56,0.49
2020-08-05,801120,47.35,9.04,0.99
2020-08-05,801050,47.77,2.67,0.54
2020-08-05,801080,61.83,4.73,0.45
2020-08-05,801040,13.0,0.92,2.43
2020-08-05,801030,30.5,2.42,1.19
