event_date,event_type,industry_code,real_dir,final_dir,dir_correct,pred_mean_5,real_CAR
2023-07-03,geopolitical,801080,+,-,False,-0.0022740724526752326,0.001228
2023-07-03,geopolitical,801880,+,+,True,0.0027452438417170017,0.018994
2023-07-03,geopolitical,801110,-,+,False,0.0025862934433916506,-0.02663
2023-07-03,geopolitical,801890,-,+,False,0.0032348322058368293,-0.015626
2023-07-03,geopolitical,801050,+,-,False,-0.01879280558788844,0.022423
2023-07-03,geopolitical,801030,+,-,False,-0.0019032679877219627,0.004753
2023-07-21,industry_policy,801180,+,-,False,-0.0057922724734760225,0.071235
2023-07-21,industry_policy,801710,+,-,False,-0.0003930953748519105,0.024725
2023-07-21,industry_policy,801780,+,-,False,-0.019941651464062207,0.017932
2023-07-24,capital_market_policy,801790,+,+,True,0.0014300502518074776,0.072335
2023-07-24,capital_market_policy,801780,+,-,False,-0.00721766058676235,0.021393
2023-07-24,capital_market_policy,801750,-,-,True,-0.010581264470647061,-0.024142
2023-07-24,capital_market_policy,801760,-,-,True,-0.026398991768560198,-0.053839
2023-08-09,geopolitical,801080,-,-,True,-0.011436600900909786,-0.0315
2023-08-09,geopolitical,801750,-,-,True,-0.005993698995627469,-0.014792
2023-08-09,geopolitical,801770,-,-,True,-0.010143051518997432,-0.015996
2023-08-15,monetary_policy,801780,+,-,False,-0.028215328759653845,0.025323
2023-08-15,monetary_policy,801790,+,-,False,-0.030392387953885925,0.00605
2023-08-15,monetary_policy,801180,+,-,False,-0.010347573183040203,0.003881
2023-08-15,monetary_policy,801710,+,-,False,-0.00815654793766399,0.021268
2023-08-21,monetary_policy,801780,+,+,True,0.006201006551429374,0.019955
2023-08-21,monetary_policy,801790,+,+,True,0.004771474002116647,0.006448
2023-08-25,industry_policy,801180,+,-,False,-0.022426549810619884,0.011579
2023-08-25,industry_policy,801710,+,-,False,-0.020039602183190744,0.021813
2023-08-25,industry_policy,801780,-,-,True,-0.022654627504013935,-0.013219
2023-08-27,capital_market_policy,801790,-,+,False,0.0012273321081582357,-0.024251
2023-08-27,capital_market_policy,801780,-,-,True,-0.041943266457901154,-0.021008
2023-09-01,capital_market_policy,801790,+,-,False,-0.042703503759259596,0.012669
2023-09-01,capital_market_policy,801780,+,-,False,-0.01709255427502161,0.012026
2023-09-01,capital_market_policy,801750,-,-,True,-0.014767150975103102,-0.010507
2023-09-15,monetary_policy,801780,+,+,True,0.007977159114508092,0.008722
2023-09-15,monetary_policy,801790,+,+,True,0.0030319158696456433,0.013835
2023-09-15,monetary_policy,801180,-,-,True,-0.007802682111149426,-0.003677
2023-10-07,geopolitical,801030,-,-,True,-0.008193346486188354,-0.000342
2023-10-07,geopolitical,801040,+,-,False,-0.024681950695345057,0.003863
2023-10-17,geopolitical,801080,-,-,True,-0.009083462934411039,-0.002796
2023-10-17,geopolitical,801880,-,-,True,-0.009075043355736643,-0.003749
2023-10-17,geopolitical,801110,+,-,False,-0.015900875370271392,0.007465
2023-10-17,geopolitical,801890,-,-,True,-0.005344745211789509,-0.014228
2023-10-17,geopolitical,801750,-,-,True,-0.01417057305995775,-0.032997
2023-10-17,geopolitical,801770,-,-,True,-0.01833091469208781,-0.045323
2023-10-17,geopolitical,801030,+,-,False,-0.0068574028275802945,0.001745
2023-10-20,geopolitical,801080,-,-,True,-0.0018291292241446489,-0.010182
2023-10-20,geopolitical,801880,+,-,False,-0.003526864655025698,0.024832
2023-10-20,geopolitical,801110,-,+,False,0.011869502830786425,-0.002455
2023-10-20,geopolitical,801890,+,-,False,-0.007849474789318387,0.001649
2023-10-20,geopolitical,801050,+,-,False,-0.003138941941056549,0.012059
2023-10-20,geopolitical,801030,+,-,False,-0.01076491369344543,0.016592
2023-10-31,industry_policy,801780,-,+,False,0.002457919851214037,-0.005589
2023-10-31,industry_policy,801790,+,-,False,-0.022877470335452694,0.022559
2023-10-31,industry_policy,801180,+,-,False,-0.025268408014493503,0.004878
2024-01-24,monetary_policy,801780,+,+,True,0.007281349033795853,0.052112
2024-01-24,monetary_policy,801790,+,-,False,-0.009512505280799515,0.029548
2024-01-24,monetary_policy,801180,+,-,False,-0.005869131789701313,0.030768
2024-01-24,monetary_policy,801710,+,-,False,-0.00822348281569966,0.007479
2024-02-05,market_event,801790,-,-,True,-0.012949096568664855,-0.012597
2024-02-05,market_event,801780,-,+,False,0.007823859546847639,-0.034132
2024-02-05,market_event,801750,+,-,False,-0.03409416981657336,0.034151
2024-02-05,market_event,801080,+,-,False,-0.03630324257793486,0.039127
2024-02-07,capital_market_policy,801790,-,-,True,-0.014202815033521544,-0.00335
2024-02-07,capital_market_policy,801780,-,+,False,0.003847340044096494,-0.010135
2024-02-20,monetary_policy,801180,+,-,False,-0.019266789288418018,0.024702
2024-02-20,monetary_policy,801710,+,-,False,-0.007264123337438112,0.01431
2024-02-20,monetary_policy,801780,-,+,False,0.0039809048012942275,-0.010944
2024-03-13,industry_policy,801890,+,+,True,0.011631261648770253,0.02011
2024-03-13,industry_policy,801040,+,-,False,-0.012019242655812643,0.017119
2024-03-13,industry_policy,801030,+,+,True,0.009897357105283628,0.022039
2024-03-13,industry_policy,801880,+,+,True,0.001561954814427622,0.04239
2024-04-12,capital_market_policy,801790,-,-,True,-0.0066067960277464075,-0.003087
2024-04-12,capital_market_policy,801780,+,-,False,-0.008011610468716828,0.028432
2024-05-14,geopolitical,801880,-,-,True,-0.006054509450218531,-0.018169
2024-05-14,geopolitical,801730,-,+,False,0.01561755755297745,-0.024487
2024-05-14,geopolitical,801080,+,+,True,0.007631778107484647,0.00901
