event_date,event_type,event_name,industry_code,direction,magnitude,window,t0,cum_ind_ret,cum_mkt_ret,CAR
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801790,+,高,1,2023-07-24,0.051715,0.024387,0.027328
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801780,+,高,1,2023-07-24,0.023892,0.024387,-0.000495
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801750,+,高,1,2023-07-24,0.029852,0.024387,0.005465
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801760,+,高,1,2023-07-24,0.01444,0.024387,-0.009947
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801790,+,高,5,2023-07-24,0.12276,0.050425,0.072335
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801780,+,高,5,2023-07-24,0.071818,0.050425,0.021393
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801750,+,高,5,2023-07-24,0.026283,0.050425,-0.024142
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801760,+,高,5,2023-07-24,-0.003414,0.050425,-0.053839
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801790,+,高,20,2023-07-24,0.061917,-0.024165,0.086081
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801780,+,高,20,2023-07-24,0.003862,-0.024165,0.028026
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801750,+,高,20,2023-07-24,-0.028648,-0.024165,-0.004484
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,801760,+,高,20,2023-07-24,-0.068952,-0.024165,-0.044787
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801780,+,高,1,2023-08-15,0.008846,-0.009744,0.01859
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801790,+,高,1,2023-08-15,0.013479,-0.009744,0.023223
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801180,+,高,1,2023-08-15,0.01485,-0.009744,0.024594
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801710,+,高,1,2023-08-15,0.003114,-0.009744,0.012858
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801780,+,高,5,2023-08-15,-1e-05,-0.025332,0.025323
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801790,+,高,5,2023-08-15,-0.019282,-0.025332,0.00605
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801180,+,高,5,2023-08-15,-0.021451,-0.025332,0.003881
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801710,+,高,5,2023-08-15,-0.004065,-0.025332,0.021268
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801780,+,高,20,2023-08-15,0.003769,-0.026139,0.029908
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801790,+,高,20,2023-08-15,-0.040745,-0.026139,-0.014606
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801180,+,高,20,2023-08-15,-0.041536,-0.026139,-0.015397
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,801710,+,高,20,2023-08-15,-0.017938,-0.026139,0.008201
