event_date,event_name,industry_code,dispersion,realized_car_T1,realized_mdd_T1,realized_downside_T1,realized_t0_T1,pred_var_T1,pred_mdd_T1,pred_tail_T1,realized_car_T5,realized_mdd_T5,realized_downside_T5,realized_t0_T5,pred_var_T5,pred_mdd_T5,pred_tail_T5,realized_car_T20,realized_mdd_T20,realized_downside_T20,realized_t0_T20,pred_var_T20,pred_mdd_T20,pred_tail_T20,risk_lo_T1,risk_hi_T1,risk_lo_T5,risk_hi_T5,risk_lo_T20,risk_hi_T20
2020-08-04,国务院印发《新时期促进集成电路产业和软件产业高质量发展的若干政策》（国,801080,0.0,-0.00980494600014814,0.018856471206779246,0.00980494600014814,2020-08-04,-0.03973,0.00703,0.05,-0.03677631491336031,0.03677631491336031,0.03677631491336031,2020-08-04,-0.05781,0.03223,0.05,-0.04872866533498632,0.05359258404459366,0.04872866533498632,2020-08-04,0.0019,0.07139,0.05,-0.05086,0.07774,-0.07816,0.217,-0.03941,0.55014
2020-08-04,国务院印发《新时期促进集成电路产业和软件产业高质量发展的若干政策》（国,801750,0.0,-0.0008923233553889132,0.010797160331979971,0.0008923233553889132,2020-08-04,-0.08328,0.02696,0.062,-0.026775669760197185,0.034595835344230656,0.026775669760197185,2020-08-04,-0.23502,0.11711,0.05,-0.043549562866863734,0.05266348819883686,0.043549562866863734,2020-08-04,-0.54313,0.3211,0.05,-0.09622,0.05325,-0.26017,0.08644,-0.59368,0.08073
2020-08-04,国务院印发《新时期促进集成电路产业和软件产业高质量发展的若干政策》（国,801770,0.0,-0.002848112064665842,0.010924384523793407,0.002848112064665842,2020-08-04,-0.05661,0.01544,0.05,-0.023772002621909705,0.023772002621909705,0.023772002621909705,2020-08-04,-0.13016,0.06047,0.05,-0.048316933787261984,0.049854918071323695,0.048316933787261984,2020-08-04,-0.40567,0.23471,0.05,-0.0668,0.05088,-0.14836,0.11984,-0.44613,0.12194
2020-08-17,美国商务部BIS扩大对华为的外国直接产品规则(FDPR)，并新增38家,801080,0.0,-0.008206329691945569,0.008206329691945569,0.008206329691945569,2020-08-17,-0.07821,0.01993,0.0755,0.0013199813794240178,0.02580848937530822,0.0,2020-08-17,-0.17301,0.07899,0.05,-0.029139116502377216,0.059257254372330266,0.029139116502377216,2020-08-17,-0.47429,0.26806,0.05,-0.09317,0.07962,-0.20284,0.16604,-0.52473,0.16667
2020-08-17,美国商务部BIS扩大对华为的外国直接产品规则(FDPR)，并新增38家,801880,0.0,0.010604747724827224,0.0,0.0,2020-08-17,-0.01495,0.00204,0.05,-0.002336426652778334,0.01280537658935405,0.002336426652778334,2020-08-17,0.0193,0.01006,0.05,0.01863690441801702,0.031703256787449334,0.0,2020-08-17,0.07945,0.0383,0.05,-0.0215,0.05409,0.0049,0.20676,0.05011,0.42346
2020-08-17,美国商务部BIS扩大对华为的外国直接产品规则(FDPR)，并新增38家,801110,0.0,-0.014010171398007643,0.014010171398007643,0.014010171398007643,2020-08-17,-0.07494,0.0234,0.059,-0.022829875292787016,0.022829875292787016,0.022829875292787016,2020-08-17,-0.14443,0.06911,0.05,-0.023426566672707594,0.03850048029339659,0.023426566672707594,2020-08-17,-0.34649,0.20233,0.05,-0.08694,0.05167,-0.16741,0.087,-0.38007,0.07179
2020-08-17,美国商务部BIS扩大对华为的外国直接产品规则(FDPR)，并新增38家,801890,0.0,0.00470176490251184,0.0019825812108422713,0.0,2020-08-17,-0.01438,0.00186,0.05,0.009033633158612275,0.006271779206355107,0.0,2020-08-17,0.02173,0.00895,0.05,0.01770557506882109,0.038958774825586184,0.0,2020-08-17,0.06971,0.04198,0.05,-0.02172,0.06307,0.00706,0.19552,0.03902,0.42692
2020-08-17,美国商务部BIS扩大对华为的外国直接产品规则(FDPR)，并新增38家,801750,0.0,-0.0018021152167050358,0.003917361373603656,0.0018021152167050358,2020-08-17,-0.03597,0.00597,0.05,-0.005007592935287963,0.015769528407170164,0.005007592935287963,2020-08-17,-0.03852,0.02648,0.05,-0.03209006499040423,0.05119095319215431,0.03209006499040423,2020-08-17,-0.08517,0.08768,0.05,-0.04696,0.07999,-0.06052,0.22118,-0.12291,0.41015
2020-08-17,美国商务部BIS扩大对华为的外国直接产品规则(FDPR)，并新增38家,801770,0.0,-0.001804215653892438,0.0018370385880123186,0.001804215653892438,2020-08-17,-0.05029,0.01218,0.05,-0.010626279735226674,0.012397635605481128,0.010626279735226674,2020-08-17,-0.10093,0.04598,0.05,-0.06327993746533855,0.07221183732046033,0.06327993746533855,2020-08-17,-0.31382,0.1815,0.05,-0.06036,0.056,-0.11996,0.13221,-0.35215,0.15908
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,0.0,0.015364118850954789,0.006154613888283311,0.0,2020-09-22,-0.05984,0.01694,0.082,0.009420688166290159,0.025656460200513383,0.0,2020-09-22,-0.1511,0.07163,0.05,0.055558075373705496,0.05905383191548719,0.0,2020-09-22,-0.39683,0.2357,0.05,-0.07027,0.05013,-0.17102,0.09745,-0.43706,0.09185
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801160,0.0,-0.0023609631905787687,0.0023609631905787687,0.0023609631905787687,2020-09-22,-0.03979,0.01296,0.1385,-0.02239524769348389,0.023652663674250674,0.02239524769348389,2020-09-22,-0.10788,0.05321,0.05,-0.0480236016526695,0.04926053000174735,0.0480236016526695,2020-09-22,-0.29236,0.18336,0.05,-0.04594,0.0251,-0.11934,0.04488,-0.314,-0.00777
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801050,0.0,-0.02346484002690763,0.02346484002690763,0.02346484002690763,2020-09-22,-0.0355,0.00688,0.05,-0.045002242881801324,0.05166077270977609,0.045002242881801324,2020-09-22,-0.05298,0.0281,0.05,-0.03555412213776943,0.05703016801069605,0.03555412213776943,2020-09-22,-0.11664,0.08872,0.05,-0.0444,0.05845,-0.0705,0.1604,-0.14817,0.3105
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801770,0.0,-0.0037085218456867075,0.0037085218456867075,0.0037085218456867075,2020-09-22,-0.04289,0.01141,0.05,-0.027137397966336962,0.03790694710989395,0.027137397966336962,2020-09-22,-0.09195,0.04285,0.05,-0.05001316826853386,0.05001316826853386,0.05001316826853386,2020-09-22,-0.26705,0.15441,0.05,-0.05079,0.04043,-0.10687,0.09569,-0.29619,0.1174
2020-11-05,国家组织冠脉支架集中带量采购在天津开标并产生拟中选结果（首次高值医用耗,801150,0.0,-0.03421076962584524,0.03421076962584524,0.03421076962584524,2020-11-05,-0.0412,0.00813,0.05,-0.04743552489360392,0.0539268377252643,0.04743552489360392,2020-11-05,-0.06262,0.0323,0.05,-0.07598474774427755,0.1045412604262681,0.07598474774427755,2020-11-05,-0.16767,0.1123,0.05,-0.05133,0.06569,-0.08157,0.18103,-0.2016,0.27914
2020-11-10,市场监管总局发布《关于平台经济领域的反垄断指南（征求意见稿）》公开征求,801760,0.0,-0.01771269605543857,0.01771269605543857,0.01771269605543857,2020-11-10,-0.05229,0.01367,0.067,-0.026860317556663627,0.026860317556663627,0.026860317556663627,2020-11-10,-0.13475,0.06386,0.05,-0.04338425492762066,0.06458361337269014,0.04338425492762066,2020-11-10,-0.33315,0.18596,0.05,-0.06206,0.05078,-0.15257,0.09436,-0.36634,0.1222
2020-11-10,市场监管总局发布《关于平台经济领域的反垄断指南（征求意见稿）》公开征求,801750,0.0,-0.026197799280991863,0.026197799280991863,0.026197799280991863,2020-11-10,-0.0364,0.00609,0.05,-0.03380874370487508,0.03380874370487508,0.03380874370487508,2020-11-10,-0.03731,0.02621,0.05,-0.05437528678774106,0.07581027109397531,0.05437528678774106,2020-11-10,-0.04951,0.07619,0.05,-0.04739,0.07959,-0.05735,0.22969,-0.08512,0.43072
2020-12-18,美国商务部BIS将中芯国际(SMIC)等逾60家中国实体列入出口管制实,801080,0.0,0.007007077450191135,0.002747835347773897,0.0,2020-12-18,-0.04216,0.01129,0.052,0.004464779494068649,0.009677642580791528,0.0,2020-12-18,-0.10396,0.04822,0.05,0.0349277988179828,0.041776925055541654,0.0,2020-12-18,-0.25781,0.14435,0.05,-0.04988,0.03921,-0.12013,0.08443,-0.28645,0.12142
2020-12-18,美国商务部BIS将中芯国际(SMIC)等逾60家中国实体列入出口管制实,801880,0.0,0.04295435230722755,0.0,0.0,2020-12-18,-0.03284,0.00739,0.05,0.010811527821513067,0.030819013712928094,0.0,2020-12-18,-0.0614,0.0296,0.05,-0.02698471103066824,0.07497273736891018,0.02698471103066824,2020-12-18,-0.07798,0.06683,0.05,-0.0399,0.04161,-0.07514,0.11927,-0.10677,0.27661
2020-12-18,美国商务部BIS将中芯国际(SMIC)等逾60家中国实体列入出口管制实,801110,0.0,-0.011895174616709525,0.012686513846927948,0.011895174616709525,2020-12-18,-0.03379,0.00686,0.05,0.0053192880794112885,0.012686513846927948,0.0,2020-12-18,-0.06115,0.02959,0.05,-0.009433355780581576,0.03130043188968418,0.009433355780581576,2020-12-18,-0.12543,0.08432,0.05,-0.04185,0.05122,-0.07596,0.12864,-0.15594,0.24711
2020-12-18,美国商务部BIS将中芯国际(SMIC)等逾60家中国实体列入出口管制实,801890,0.0,-0.0046784342048730165,0.007223753851135606,0.0046784342048730165,2020-12-18,-0.02272,0.00398,0.05,0.002812539253348012,0.008219256778405985,0.0,2020-12-18,-0.02692,0.01708,0.05,-0.015739634322097684,0.03994837490937183,0.015739634322097684,2020-12-18,-0.06065,0.05644,0.05,-0.02917,0.0454,-0.03973,0.12769,-0.08183,0.22411
2020-12-18,美国商务部BIS将中芯国际(SMIC)等逾60家中国实体列入出口管制实,801750,0.0,-0.00392792465256131,0.006270983522068341,0.00392792465256131,2020-12-18,-0.04438,0.01296,0.083,-0.056008394916478466,0.056008394916478466,0.056008394916478466,2020-12-18,-0.10992,0.05108,0.05,-0.0823456248586023,0.11909531739592205,0.0823456248586023,2020-12-18,-0.29531,0.17628,0.05,-0.05191,0.03499,-0.1241,0.08323,-0.3226,0.05382
